date,ward,cholera_cases,typhoid_cases,dysentery_cases,hepatitis_cases
12-08-2020,Sundarapuram,26,30,11,14
12-08-2020,Podanur,11,16,10,5
12-08-2020,Thudiyalur,17,19,12,13
12-08-2020,Vadakovai,16,22,15,15
12-08-2020,Ganapathy,24,34,20,19
12-08-2020,Kalapatti,29,54,33,35
12-08-2020,Kovaipudur,20,21,16,12
12-08-2020,Selvapuram,12,15,10,9
12-08-2020,Kurichi,13,15,15,7
12-08-2020,Vadavalli,23,21,24,15
19-08-2020,Gandhipuram,13,24,17,10
19-08-2020,RS Puram,12,14,7,4
19-08-2020,Saibaba Colony,18,28,15,9
19-08-2020,Peelamedu,23,24,15,9
19-08-2020,Singanallur,30,27,18,15
19-08-2020,Saravanampatti,35,53,36,24
19-08-2020,Race Course,12,19,23,11
19-08-2020,Ukkadam,13,26,9,7
19-08-2020,Town Hall,16,14,12,5
19-08-2020,Kuniyamuthur,17,15,15,10
19-08-2020,Sundarapuram,11,23,26,14
19-08-2020,Podanur,11,9,10,1
19-08-2020,Thudiyalur,19,17,14,12
19-08-2020,Vadakovai,23,22,8,13
19-08-2020,Ganapathy,30,49,20,11
19-08-2020,Kalapatti,32,51,35,25
19-08-2020,Kovaipudur,16,26,12,12
19-08-2020,Selvapuram,11,19,14,8
19-08-2020,Kurichi,24,22,15,11
19-08-2020,Vadavalli,18,24,24,15
26-08-2020,Gandhipuram,22,24,17,13
26-08-2020,RS Puram,14,19,14,6
26-08-2020,Saibaba Colony,17,13,17,13
26-08-2020,Peelamedu,10,19,14,4
26-08-2020,Singanallur,23,33,17,17
26-08-2020,Saravanampatti,29,33,35,17
26-08-2020,Race Course,14,26,23,11
26-08-2020,Ukkadam,15,15,18,12
26-08-2020,Town Hall,15,10,8,6
26-08-2020,Kuniyamuthur,20,17,13,10
26-08-2020,Sundarapuram,20,22,14,13
26-08-2020,Podanur,7,7,8,8
26-08-2020,Thudiyalur,22,23,18,11
26-08-2020,Vadakovai,19,17,22,10
26-08-2020,Ganapathy,25,30,17,15
26-08-2020,Kalapatti,34,44,29,33
26-08-2020,Kovaipudur,21,16,10,16
26-08-2020,Selvapuram,17,21,17,8
26-08-2020,Kurichi,15,28,15,9
26-08-2020,Vadavalli,19,25,32,18
02-09-2020,Gandhipuram,13,23,10,18
02-09-2020,RS Puram,14,18,6,12
02-09-2020,Saibaba Colony,20,19,11,11
02-09-2020,Peelamedu,14,13,6,12
02-09-2020,Singanallur,24,21,19,17
02-09-2020,Saravanampatti,39,42,21,23
02-09-2020,Race Course,22,21,13,13
02-09-2020,Ukkadam,12,15,10,11
02-09-2020,Town Hall,11,17,11,4
02-09-2020,Kuniyamuthur,12,24,6,6
02-09-2020,Sundarapuram,23,11,8,14
02-09-2020,Podanur,8,12,4,6
02-09-2020,Thudiyalur,15,15,9,10
02-09-2020,Vadakovai,15,23,12,18
02-09-2020,Ganapathy,25,31,11,18
02-09-2020,Kalapatti,38,52,25,18
02-09-2020,Kovaipudur,17,25,11,11
02-09-2020,Selvapuram,13,11,8,10
02-09-2020,Kurichi,13,30,10,7
02-09-2020,Vadavalli,20,34,10,18
09-09-2020,Gandhipuram,18,18,10,16
09-09-2020,RS Puram,9,12,6,7
09-09-2020,Saibaba Colony,13,22,10,12
09-09-2020,Peelamedu,10,14,5,12
09-09-2020,Singanallur,20,35,12,19
09-09-2020,Saravanampatti,34,47,16,31
09-09-2020,Race Course,28,29,16,16
09-09-2020,Ukkadam,14,14,9,14
09-09-2020,Town Hall,10,11,6,12
09-09-2020,Kuniyamuthur,12,15,11,14
09-09-2020,Sundarapuram,18,29,13,15
09-09-2020,Podanur,8,16,5,5
09-09-2020,Thudiyalur,15,24,9,7
09-09-2020,Vadakovai,15,19,10,19
09-09-2020,Ganapathy,23,29,20,15
09-09-2020,Kalapatti,32,51,29,23
09-09-2020,Kovaipudur,14,23,10,11
09-09-2020,Selvapuram,20,14,12,10
09-09-2020,Kurichi,12,20,14,18
09-09-2020,Vadavalli,26,38,18,17
16-09-2020,Gandhipuram,21,16,13,16
16-09-2020,RS Puram,12,10,9,8
16-09-2020,Saibaba Colony,13,16,7,14
16-09-2020,Peelamedu,17,21,4,5
16-09-2020,Singanallur,17,31,17,22
16-09-2020,Saravanampatti,26,37,24,25
16-09-2020,Race Course,20,30,19,11
16-09-2020,Ukkadam,16,16,11,9
16-09-2020,Town Hall,8,21,9,4
16-09-2020,Kuniyamuthur,12,16,18,10
16-09-2020,Sundarapuram,18,21,6,16
16-09-2020,Podanur,8,10,6,4
16-09-2020,Thudiyalur,13,26,13,8
16-09-2020,Vadakovai,14,25,12,16
16-09-2020,Ganapathy,18,38,11,24
16-09-2020,Kalapatti,30,51,26,26
16-09-2020,Kovaipudur,22,24,14,11
16-09-2020,Selvapuram,14,20,8,13
16-09-2020,Kurichi,16,26,16,12
16-09-2020,Vadavalli,25,43,13,19
23-09-2020,Gandhipuram,10,21,18,13
23-09-2020,RS Puram,12,14,8,10
23-09-2020,Saibaba Colony,21,29,12,12
23-09-2020,Peelamedu,19,18,8,15
23-09-2020,Singanallur,30,27,6,14
23-09-2020,Saravanampatti,28,39,20,18
23-09-2020,Race Course,18,24,15,8
23-09-2020,Ukkadam,12,17,7,9
23-09-2020,Town Hall,9,9,8,5
23-09-2020,Kuniyamuthur,10,26,9,13
23-09-2020,Sundarapuram,19,20,10,9
23-09-2020,Podanur,7,7,4,5
23-09-2020,Thudiyalur,15,21,14,13
23-09-2020,Vadakovai,18,21,12,5
23-09-2020,Ganapathy,26,34,16,21
23-09-2020,Kalapatti,35,50,19,18
23-09-2020,Kovaipudur,15,24,11,8
23-09-2020,Selvapuram,15,11,10,13
23-09-2020,Kurichi,22,19,12,12
23-09-2020,Vadavalli,14,43,19,19
30-09-2020,Gandhipuram,13,20,12,14
30-09-2020,RS Puram,16,13,7,8
30-09-2020,Saibaba Colony,24,14,7,11
30-09-2020,Peelamedu,9,27,14,6
30-09-2020,Singanallur,24,24,17,16
30-09-2020,Saravanampatti,24,55,23,21
30-09-2020,Race Course,17,18,19,13
30-09-2020,Ukkadam,13,22,9,9
30-09-2020,Town Hall,16,14,7,9
30-09-2020,Kuniyamuthur,9,17,17,10
30-09-2020,Sundarapuram,25,25,9,12
30-09-2020,Podanur,6,7,5,9
30-09-2020,Thudiyalur,12,14,8,8
30-09-2020,Vadakovai,22,23,7,18
30-09-2020,Ganapathy,34,36,10,26
30-09-2020,Kalapatti,45,45,19,30
30-09-2020,Kovaipudur,14,20,14,12
30-09-2020,Selvapuram,22,21,8,11
30-09-2020,Kurichi,7,20,15,8
30-09-2020,Vadavalli,25,28,16,14
07-10-2020,Gandhipuram,12,22,14,13
07-10-2020,RS Puram,4,17,7,14
07-10-2020,Saibaba Colony,8,28,7,10
07-10-2020,Peelamedu,9,23,7,10
07-10-2020,Singanallur,20,32,17,13
07-10-2020,Saravanampatti,20,37,16,19
07-10-2020,Race Course,12,26,8,7
07-10-2020,Ukkadam,4,18,4,15
07-10-2020,Town Hall,9,21,8,9
07-10-2020,Kuniyamuthur,15,16,9,7
07-10-2020,Sundarapuram,16,22,7,16
07-10-2020,Podanur,6,11,7,6
07-10-2020,Thudiyalur,12,18,14,6
07-10-2020,Vadakovai,13,21,7,12
07-10-2020,Ganapathy,28,29,19,19
07-10-2020,Kalapatti,27,40,14,17
07-10-2020,Kovaipudur,12,27,6,13
07-10-2020,Selvapuram,8,11,10,11
07-10-2020,Kurichi,13,24,8,16
07-10-2020,Vadavalli,11,25,11,22
14-10-2020,Gandhipuram,16,30,7,15
14-10-2020,RS Puram,9,15,9,5
14-10-2020,Saibaba Colony,11,21,11,9
14-10-2020,Peelamedu,11,19,8,6
14-10-2020,Singanallur,5,33,9,12
14-10-2020,Saravanampatti,19,43,25,17
14-10-2020,Race Course,13,29,11,12
14-10-2020,Ukkadam,8,28,8,8
14-10-2020,Town Hall,11,13,8,10
14-10-2020,Kuniyamuthur,8,15,5,11
14-10-2020,Sundarapuram,19,20,8,17
14-10-2020,Podanur,11,9,2,8
14-10-2020,Thudiyalur,14,11,8,9
14-10-2020,Vadakovai,20,20,12,14
14-10-2020,Ganapathy,14,22,16,18
14-10-2020,Kalapatti,23,33,27,14
14-10-2020,Kovaipudur,9,20,14,8
14-10-2020,Selvapuram,9,17,5,11
14-10-2020,Kurichi,8,20,10,14
14-10-2020,Vadavalli,22,19,5,15
21-10-2020,Gandhipuram,14,24,10,9
21-10-2020,RS Puram,6,10,7,11
21-10-2020,Saibaba Colony,14,15,9,13
21-10-2020,Peelamedu,9,12,11,11
21-10-2020,Singanallur,19,39,9,14
21-10-2020,Saravanampatti,24,39,17,30
21-10-2020,Race Course,16,25,11,6
21-10-2020,Ukkadam,9,23,10,8
21-10-2020,Town Hall,13,14,9,6
21-10-2020,Kuniyamuthur,17,22,9,9
21-10-2020,Sundarapuram,13,22,11,4
21-10-2020,Podanur,6,6,8,5
21-10-2020,Thudiyalur,6,15,10,13
21-10-2020,Vadakovai,13,27,7,9
21-10-2020,Ganapathy,10,34,13,13
21-10-2020,Kalapatti,18,50,24,23
21-10-2020,Kovaipudur,3,13,8,6
21-10-2020,Selvapuram,6,17,15,11
21-10-2020,Kurichi,11,19,14,7
21-10-2020,Vadavalli,13,29,12,17
28-10-2020,Gandhipuram,7,18,8,12
28-10-2020,RS Puram,6,4,6,7
28-10-2020,Saibaba Colony,14,23,12,9
28-10-2020,Peelamedu,6,14,11,14
28-10-2020,Singanallur,22,26,17,21
28-10-2020,Saravanampatti,22,23,21,23
28-10-2020,Race Course,15,24,7,14
28-10-2020,Ukkadam,10,15,9,9
28-10-2020,Town Hall,9,9,2,7
28-10-2020,Kuniyamuthur,7,18,9,9
28-10-2020,Sundarapuram,15,25,16,12
28-10-2020,Podanur,5,13,3,6
28-10-2020,Thudiyalur,9,20,12,13
28-10-2020,Vadakovai,20,21,8,13
28-10-2020,Ganapathy,14,32,9,18
28-10-2020,Kalapatti,17,47,20,22
28-10-2020,Kovaipudur,14,22,7,9
28-10-2020,Selvapuram,6,19,4,15
28-10-2020,Kurichi,8,16,8,8
28-10-2020,Vadavalli,13,41,17,20
04-11-2020,Gandhipuram,17,13,8,12
04-11-2020,RS Puram,6,15,5,13
04-11-2020,Saibaba Colony,16,15,18,17
04-11-2020,Peelamedu,9,8,5,6
04-11-2020,Singanallur,19,17,14,10
04-11-2020,Saravanampatti,24,34,26,27
04-11-2020,Race Course,11,18,5,15
04-11-2020,Ukkadam,7,9,11,11
04-11-2020,Town Hall,4,9,6,5
04-11-2020,Kuniyamuthur,14,9,8,8
04-11-2020,Sundarapuram,14,20,9,8
04-11-2020,Podanur,5,5,6,3
04-11-2020,Thudiyalur,4,16,7,6
04-11-2020,Vadakovai,15,25,12,14
04-11-2020,Ganapathy,24,23,21,20
04-11-2020,Kalapatti,26,26,19,25
04-11-2020,Kovaipudur,9,15,15,11
04-11-2020,Selvapuram,9,8,11,9
04-11-2020,Kurichi,10,13,12,11
04-11-2020,Vadavalli,17,22,18,24
11-11-2020,Gandhipuram,12,18,7,23
11-11-2020,RS Puram,8,12,6,7
11-11-2020,Saibaba Colony,9,17,5,21
11-11-2020,Peelamedu,10,17,15,11
11-11-2020,Singanallur,17,18,14,17
11-11-2020,Saravanampatti,14,30,15,20
11-11-2020,Race Course,18,14,16,6
11-11-2020,Ukkadam,9,12,10,12
11-11-2020,Town Hall,10,3,8,6
11-11-2020,Kuniyamuthur,8,17,8,12
11-11-2020,Sundarapuram,14,10,17,13
11-11-2020,Podanur,6,9,4,8
11-11-2020,Thudiyalur,11,15,9,11
11-11-2020,Vadakovai,7,15,8,12
11-11-2020,Ganapathy,19,14,11,21
11-11-2020,Kalapatti,29,26,23,27
11-11-2020,Kovaipudur,13,12,14,11
11-11-2020,Selvapuram,8,11,5,3
11-11-2020,Kurichi,7,13,6,9
11-11-2020,Vadavalli,18,20,11,21
18-11-2020,Gandhipuram,13,24,15,16
18-11-2020,RS Puram,8,13,7,8
18-11-2020,Saibaba Colony,12,21,10,10
18-11-2020,Peelamedu,12,5,6,8
18-11-2020,Singanallur,16,22,19,17
18-11-2020,Saravanampatti,22,28,17,18
18-11-2020,Race Course,11,10,15,14
18-11-2020,Ukkadam,8,11,12,6
18-11-2020,Town Hall,7,5,6,10
18-11-2020,Kuniyamuthur,10,12,6,10
18-11-2020,Sundarapuram,16,19,11,14
18-11-2020,Podanur,3,9,5,6
18-11-2020,Thudiyalur,10,15,6,8
18-11-2020,Vadakovai,7,12,8,12
18-11-2020,Ganapathy,16,26,16,20
18-11-2020,Kalapatti,20,24,26,22
18-11-2020,Kovaipudur,15,11,8,14
18-11-2020,Selvapuram,8,14,14,9
18-11-2020,Kurichi,12,11,13,12
18-11-2020,Vadavalli,19,22,15,16
25-11-2020,Gandhipuram,11,12,11,15
25-11-2020,RS Puram,9,13,2,4
25-11-2020,Saibaba Colony,13,13,9,9
25-11-2020,Peelamedu,6,11,6,14
25-11-2020,Singanallur,16,26,13,20
25-11-2020,Saravanampatti,29,32,19,19
25-11-2020,Race Course,21,21,13,15
25-11-2020,Ukkadam,10,13,14,10
25-11-2020,Town Hall,9,16,14,8
25-11-2020,Kuniyamuthur,14,15,7,12
25-11-2020,Sundarapuram,13,19,9,11
25-11-2020,Podanur,5,6,4,8
25-11-2020,Thudiyalur,13,11,9,1
25-11-2020,Vadakovai,10,13,10,10
25-11-2020,Ganapathy,22,26,24,14
25-11-2020,Kalapatti,24,25,22,23
25-11-2020,Kovaipudur,13,12,7,9
25-11-2020,Selvapuram,10,12,8,8
25-11-2020,Kurichi,7,10,9,13
25-11-2020,Vadavalli,9,23,17,13
02-12-2020,Gandhipuram,20,15,20,9
02-12-2020,RS Puram,7,14,7,2
02-12-2020,Saibaba Colony,13,19,9,4
02-12-2020,Peelamedu,21,16,13,6
02-12-2020,Singanallur,9,23,10,13
02-12-2020,Saravanampatti,19,28,24,12
02-12-2020,Race Course,7,12,14,5
02-12-2020,Ukkadam,11,10,9,3
02-12-2020,Town Hall,6,9,8,10
02-12-2020,Kuniyamuthur,9,19,9,5
02-12-2020,Sundarapuram,9,13,6,7
02-12-2020,Podanur,5,4,6,4
02-12-2020,Thudiyalur,12,14,10,12
02-12-2020,Vadakovai,8,11,7,13
02-12-2020,Ganapathy,13,24,16,10
02-12-2020,Kalapatti,18,23,18,19
02-12-2020,Kovaipudur,8,10,10,8
02-12-2020,Selvapuram,2,3,9,2
02-12-2020,Kurichi,14,9,7,5
02-12-2020,Vadavalli,17,21,11,16
09-12-2020,Gandhipuram,9,10,4,8
09-12-2020,RS Puram,4,6,1,5
09-12-2020,Saibaba Colony,11,10,10,6
09-12-2020,Peelamedu,9,12,8,9
09-12-2020,Singanallur,15,27,14,13
09-12-2020,Saravanampatti,17,19,24,19
09-12-2020,Race Course,7,12,15,9
09-12-2020,Ukkadam,7,6,12,5
09-12-2020,Town Hall,6,6,5,8
09-12-2020,Kuniyamuthur,5,12,11,5
09-12-2020,Sundarapuram,11,17,15,5
09-12-2020,Podanur,2,2,2,2
09-12-2020,Thudiyalur,11,16,5,2
09-12-2020,Vadakovai,11,15,11,7
09-12-2020,Ganapathy,11,14,6,9
09-12-2020,Kalapatti,16,27,15,11
09-12-2020,Kovaipudur,8,13,7,10
09-12-2020,Selvapuram,9,11,6,2
09-12-2020,Kurichi,9,17,15,3
09-12-2020,Vadavalli,10,19,10,8
16-12-2020,Gandhipuram,10,15,9,12
16-12-2020,RS Puram,7,10,7,5
16-12-2020,Saibaba Colony,5,16,5,8
16-12-2020,Peelamedu,6,11,15,2
16-12-2020,Singanallur,20,22,15,12
16-12-2020,Saravanampatti,24,19,21,18
16-12-2020,Race Course,9,17,7,5
16-12-2020,Ukkadam,8,6,5,7
16-12-2020,Town Hall,2,4,6,7
16-12-2020,Kuniyamuthur,12,11,5,2
16-12-2020,Sundarapuram,9,17,13,7
16-12-2020,Podanur,5,3,7,1
16-12-2020,Thudiyalur,10,9,9,9
16-12-2020,Vadakovai,7,6,8,4
16-12-2020,Ganapathy,16,18,14,12
16-12-2020,Kalapatti,20,24,19,7
16-12-2020,Kovaipudur,8,8,12,7
16-12-2020,Selvapuram,17,12,8,7
16-12-2020,Kurichi,6,9,12,6
16-12-2020,Vadavalli,16,16,6,7
23-12-2020,Gandhipuram,8,12,9,7
23-12-2020,RS Puram,11,8,6,6
23-12-2020,Saibaba Colony,7,15,6,4
23-12-2020,Peelamedu,11,6,10,12
23-12-2020,Singanallur,12,12,12,9
23-12-2020,Saravanampatti,16,22,25,10
23-12-2020,Race Course,13,20,9,6
23-12-2020,Ukkadam,5,9,6,6
23-12-2020,Town Hall,6,7,2,4
23-12-2020,Kuniyamuthur,6,8,13,10
23-12-2020,Sundarapuram,12,20,12,3
23-12-2020,Podanur,3,6,5,3
23-12-2020,Thudiyalur,7,9,10,3
23-12-2020,Vadakovai,14,13,7,9
23-12-2020,Ganapathy,19,23,19,7
23-12-2020,Kalapatti,25,15,23,13
23-12-2020,Kovaipudur,7,10,8,10
23-12-2020,Selvapuram,4,13,9,6
23-12-2020,Kurichi,7,15,12,8
23-12-2020,Vadavalli,22,21,11,9
30-12-2020,Gandhipuram,15,12,8,7
30-12-2020,RS Puram,9,4,4,2
30-12-2020,Saibaba Colony,12,15,5,3
30-12-2020,Peelamedu,5,13,8,5
30-12-2020,Singanallur,17,23,16,7
30-12-2020,Saravanampatti,22,12,10,4
30-12-2020,Race Course,2,15,9,10
30-12-2020,Ukkadam,8,10,10,6
30-12-2020,Town Hall,5,8,9,5
30-12-2020,Kuniyamuthur,10,11,12,9
30-12-2020,Sundarapuram,9,25,10,7
30-12-2020,Podanur,9,10,6,6
30-12-2020,Thudiyalur,6,9,9,7
30-12-2020,Vadakovai,6,8,3,5
30-12-2020,Ganapathy,12,9,22,11
30-12-2020,Kalapatti,11,34,14,13
30-12-2020,Kovaipudur,10,16,9,9
30-12-2020,Selvapuram,7,16,11,3
30-12-2020,Kurichi,10,14,7,3
30-12-2020,Vadavalli,12,11,17,9
06-01-2021,Gandhipuram,9,19,17,11
06-01-2021,RS Puram,6,12,6,5
06-01-2021,Saibaba Colony,16,12,14,8
06-01-2021,Peelamedu,5,4,7,5
06-01-2021,Singanallur,12,7,10,6
06-01-2021,Saravanampatti,11,17,14,10
06-01-2021,Race Course,9,15,7,5
06-01-2021,Ukkadam,11,11,6,3
06-01-2021,Town Hall,2,9,10,4
06-01-2021,Kuniyamuthur,6,12,6,3
06-01-2021,Sundarapuram,7,14,6,4
06-01-2021,Podanur,5,4,4,1
06-01-2021,Thudiyalur,14,9,6,8
06-01-2021,Vadakovai,9,11,5,8
06-01-2021,Ganapathy,13,24,12,11
06-01-2021,Kalapatti,25,19,17,15
06-01-2021,Kovaipudur,10,10,11,6
06-01-2021,Selvapuram,7,12,6,4
06-01-2021,Kurichi,11,8,8,1
06-01-2021,Vadavalli,14,19,14,13
13-01-2021,Gandhipuram,17,12,11,7
13-01-2021,RS Puram,5,6,6,1
13-01-2021,Saibaba Colony,8,10,12,4
13-01-2021,Peelamedu,7,9,8,4
13-01-2021,Singanallur,11,11,22,8
13-01-2021,Saravanampatti,16,20,20,13
13-01-2021,Race Course,16,14,10,6
13-01-2021,Ukkadam,12,7,8,7
13-01-2021,Town Hall,7,8,7,0
13-01-2021,Kuniyamuthur,6,9,14,6
13-01-2021,Sundarapuram,13,12,11,8
13-01-2021,Podanur,6,6,5,2
13-01-2021,Thudiyalur,8,7,8,2
13-01-2021,Vadakovai,9,15,18,5
13-01-2021,Ganapathy,12,12,18,6
13-01-2021,Kalapatti,21,23,20,20
13-01-2021,Kovaipudur,9,5,6,5
13-01-2021,Selvapuram,10,8,5,7
13-01-2021,Kurichi,10,7,7,6
13-01-2021,Vadavalli,18,18,11,11
20-01-2021,Gandhipuram,5,18,10,14
20-01-2021,RS Puram,5,8,9,7
20-01-2021,Saibaba Colony,11,23,11,7
20-01-2021,Peelamedu,5,10,5,9
20-01-2021,Singanallur,12,21,17,7
20-01-2021,Saravanampatti,27,27,15,28
20-01-2021,Race Course,6,10,9,6
20-01-2021,Ukkadam,9,17,5,6
20-01-2021,Town Hall,7,8,9,1
20-01-2021,Kuniyamuthur,10,4,6,7
20-01-2021,Sundarapuram,11,18,4,8
20-01-2021,Podanur,5,5,1,3
20-01-2021,Thudiyalur,8,12,6,5
20-01-2021,Vadakovai,15,12,11,5
20-01-2021,Ganapathy,17,23,16,4
20-01-2021,Kalapatti,26,15,21,9
20-01-2021,Kovaipudur,11,17,6,6
20-01-2021,Selvapuram,6,10,6,7
20-01-2021,Kurichi,7,18,9,4
20-01-2021,Vadavalli,12,30,13,10
27-01-2021,Gandhipuram,18,18,10,4
27-01-2021,RS Puram,2,4,3,3
27-01-2021,Saibaba Colony,16,19,11,9
27-01-2021,Peelamedu,13,8,6,3
27-01-2021,Singanallur,10,17,20,10
27-01-2021,Saravanampatti,16,24,24,12
27-01-2021,Race Course,8,10,7,14
27-01-2021,Ukkadam,5,15,10,2
27-01-2021,Town Hall,4,7,7,2
27-01-2021,Kuniyamuthur,7,12,4,3
27-01-2021,Sundarapuram,10,12,10,6
27-01-2021,Podanur,2,3,2,3
27-01-2021,Thudiyalur,8,7,4,3
27-01-2021,Vadakovai,8,7,8,9
27-01-2021,Ganapathy,15,17,19,7
27-01-2021,Kalapatti,25,22,16,20
27-01-2021,Kovaipudur,11,14,11,10
27-01-2021,Selvapuram,4,8,11,4
27-01-2021,Kurichi,14,10,10,5
27-01-2021,Vadavalli,17,12,17,13
03-02-2021,Gandhipuram,8,13,9,5
03-02-2021,RS Puram,5,9,3,8
03-02-2021,Saibaba Colony,14,11,10,3
03-02-2021,Peelamedu,11,15,10,8
03-02-2021,Singanallur,5,9,11,14
03-02-2021,Saravanampatti,25,18,16,8
03-02-2021,Race Course,7,10,7,4
03-02-2021,Ukkadam,8,8,11,6
03-02-2021,Town Hall,8,1,5,3
03-02-2021,Kuniyamuthur,4,4,7,3
03-02-2021,Sundarapuram,5,11,13,6
03-02-2021,Podanur,5,4,3,1
03-02-2021,Thudiyalur,15,11,10,6
03-02-2021,Vadakovai,9,16,13,8
03-02-2021,Ganapathy,15,26,9,11
03-02-2021,Kalapatti,15,22,15,14
03-02-2021,Kovaipudur,16,13,9,9
03-02-2021,Selvapuram,9,10,5,5
03-02-2021,Kurichi,9,15,8,4
03-02-2021,Vadavalli,14,13,15,8
10-02-2021,Gandhipuram,9,11,13,7
10-02-2021,RS Puram,8,8,5,8
10-02-2021,Saibaba Colony,8,13,13,6
10-02-2021,Peelamedu,8,12,6,6
10-02-2021,Singanallur,13,10,12,8
10-02-2021,Saravanampatti,10,25,14,11
10-02-2021,Race Course,10,13,5,3
10-02-2021,Ukkadam,7,10,1,2
10-02-2021,Town Hall,5,9,5,3
10-02-2021,Kuniyamuthur,13,12,6,5
10-02-2021,Sundarapuram,14,15,11,5
10-02-2021,Podanur,8,6,2,4
10-02-2021,Thudiyalur,9,11,10,3
10-02-2021,Vadakovai,6,9,5,5
10-02-2021,Ganapathy,16,27,18,13
10-02-2021,Kalapatti,21,20,11,16
10-02-2021,Kovaipudur,1,9,2,5
10-02-2021,Selvapuram,4,9,2,0
10-02-2021,Kurichi,8,14,5,8
10-02-2021,Vadavalli,7,26,18,8
17-02-2021,Gandhipuram,9,8,9,9
17-02-2021,RS Puram,7,6,4,6
17-02-2021,Saibaba Colony,13,9,7,8
17-02-2021,Peelamedu,9,12,6,8
17-02-2021,Singanallur,13,18,14,12
17-02-2021,Saravanampatti,20,19,22,10
17-02-2021,Race Course,12,18,6,6
17-02-2021,Ukkadam,5,11,4,3
17-02-2021,Town Hall,4,11,7,7
17-02-2021,Kuniyamuthur,6,16,10,8
17-02-2021,Sundarapuram,14,12,11,9
17-02-2021,Podanur,4,6,4,1
17-02-2021,Thudiyalur,8,2,9,2
17-02-2021,Vadakovai,19,20,7,6
17-02-2021,Ganapathy,19,15,11,8
17-02-2021,Kalapatti,22,28,19,12
17-02-2021,Kovaipudur,14,16,13,5
17-02-2021,Selvapuram,19,14,9,5
17-02-2021,Kurichi,12,2,5,3
17-02-2021,Vadavalli,12,21,13,14
24-02-2021,Gandhipuram,9,9,10,7
24-02-2021,RS Puram,4,6,5,0
24-02-2021,Saibaba Colony,9,12,5,14
24-02-2021,Peelamedu,6,5,6,8
24-02-2021,Singanallur,12,18,9,10
24-02-2021,Saravanampatti,11,39,20,8
24-02-2021,Race Course,13,13,15,12
24-02-2021,Ukkadam,7,11,6,5
24-02-2021,Town Hall,7,13,7,3
24-02-2021,Kuniyamuthur,7,14,9,7
24-02-2021,Sundarapuram,8,15,11,7
24-02-2021,Podanur,5,5,5,1
24-02-2021,Thudiyalur,10,8,7,3
24-02-2021,Vadakovai,9,14,11,11
24-02-2021,Ganapathy,11,25,10,10
24-02-2021,Kalapatti,12,17,16,10
24-02-2021,Kovaipudur,8,13,5,6
24-02-2021,Selvapuram,16,11,10,3
24-02-2021,Kurichi,6,6,18,1
24-02-2021,Vadavalli,12,21,6,6
03-03-2021,Gandhipuram,8,16,6,6
03-03-2021,RS Puram,9,11,3,5
03-03-2021,Saibaba Colony,13,11,9,8
03-03-2021,Peelamedu,6,6,10,5
03-03-2021,Singanallur,10,20,10,7
03-03-2021,Saravanampatti,13,15,12,9
03-03-2021,Race Course,11,10,9,7
03-03-2021,Ukkadam,5,6,5,5
03-03-2021,Town Hall,4,8,6,4
03-03-2021,Kuniyamuthur,8,15,3,4
03-03-2021,Sundarapuram,10,17,24,12
03-03-2021,Podanur,6,4,4,3
03-03-2021,Thudiyalur,6,6,6,4
03-03-2021,Vadakovai,9,9,11,6
03-03-2021,Ganapathy,15,28,13,10
03-03-2021,Kalapatti,22,28,16,8
03-03-2021,Kovaipudur,6,11,6,6
03-03-2021,Selvapuram,6,6,7,10
03-03-2021,Kurichi,6,12,5,4
03-03-2021,Vadavalli,12,15,16,12
10-03-2021,Gandhipuram,11,12,4,3
10-03-2021,RS Puram,6,9,1,3
10-03-2021,Saibaba Colony,7,21,12,7
10-03-2021,Peelamedu,10,14,8,6
10-03-2021,Singanallur,11,12,12,12
10-03-2021,Saravanampatti,18,16,14,10
10-03-2021,Race Course,8,18,11,4
10-03-2021,Ukkadam,4,6,9,3
10-03-2021,Town Hall,11,2,7,2
10-03-2021,Kuniyamuthur,13,14,12,10
10-03-2021,Sundarapuram,9,21,16,12
10-03-2021,Podanur,8,7,10,5
10-03-2021,Thudiyalur,7,14,8,4
10-03-2021,Vadakovai,11,14,12,7
10-03-2021,Ganapathy,23,17,16,17
10-03-2021,Kalapatti,9,22,11,8
10-03-2021,Kovaipudur,4,10,7,7
10-03-2021,Selvapuram,6,13,12,3
10-03-2021,Kurichi,8,7,8,3
10-03-2021,Vadavalli,11,14,21,16
17-03-2021,Gandhipuram,10,5,8,2
17-03-2021,RS Puram,5,11,3,1
17-03-2021,Saibaba Colony,5,10,12,4
17-03-2021,Peelamedu,10,8,8,7
17-03-2021,Singanallur,13,17,10,9
17-03-2021,Saravanampatti,13,26,15,8
17-03-2021,Race Course,7,17,12,7
17-03-2021,Ukkadam,4,10,8,5
17-03-2021,Town Hall,6,5,6,0
17-03-2021,Kuniyamuthur,8,13,12,9
17-03-2021,Sundarapuram,5,14,9,13
17-03-2021,Podanur,8,7,5,3
17-03-2021,Thudiyalur,6,11,12,6
17-03-2021,Vadakovai,5,17,9,10
17-03-2021,Ganapathy,12,21,13,7
17-03-2021,Kalapatti,12,27,24,17
17-03-2021,Kovaipudur,8,5,10,9
17-03-2021,Selvapuram,5,5,11,10
17-03-2021,Kurichi,6,9,3,7
17-03-2021,Vadavalli,11,14,14,7
24-03-2021,Gandhipuram,9,9,6,6
